,0,1,2
0,1.4548227,1.4400469,2.0118093
1,1.497361,1.7280346,2.2364533
2,1.3561945,1.2273076,1.6890764
3,1.5043558,1.7328187,2.0789418
4,1.2472367,1.0943792,1.3344338
5,1.4645098,1.4377137,1.9989445
6,1.2930776,1.3264204,0.84964865
7,0.9761435,0.7702425,0.1221296
8,1.3360124,1.34748,1.3855474
9,1.7407583,1.7695779,1.1623735
10,1.5163007,1.7443818,2.400079
11,1.0011038,0.6553378,-0.15426756
12,1.1004559,0.8839713,0.01405521
13,1.465644,1.7626791,2.0705934
14,1.3632139,1.414901,1.9361537
15,1.3715825,1.1877874,0.24913844
16,1.500252,1.7286168,1.8494867
17,1.4854761,1.6662066,1.8620814
18,1.7568483,1.9642494,1.504902
19,1.4729433,1.7325076,2.1963475
20,1.287223,1.293818,1.8177081
21,1.6651961,1.6239,0.6475592
22,1.5685812,1.5656594,0.6899826
23,1.3195724,1.2584866,1.6302955
24,1.6891422,1.8378897,1.2875746
25,0.9896912,0.72931916,0.02446775
26,1.5560853,1.5085247,0.7799978
27,1.4414654,1.5660596,1.9530466
28,1.193866,0.9802178,1.3675051
29,1.1991045,1.1662128,0.13904586
30,1.4061048,1.5824419,1.806384
31,0.97567856,0.58663636,-0.07560145
32,1.4310613,1.4765142,2.0569298
33,1.304101,1.3672559,1.9695376
34,1.2251344,0.9909067,-0.21358564
35,1.4875869,1.544313,2.102407
36,1.5140837,1.8627175,2.4371982
37,0.90169424,0.41579866,-0.22427005
38,1.3882434,1.539098,1.7868023
39,1.159406,1.0012212,1.1532294
40,1.5702977,1.3933299,0.3748774
41,1.2783389,1.2055107,1.4573452
42,1.0991318,0.9162404,0.20162824
43,1.5219574,1.7116984,2.304334
44,1.1302197,1.1572684,0.580004
45,1.4010638,1.3990732,0.5538285
46,1.2179983,1.1612822,1.4605253
47,1.2689257,0.93159056,1.2081854
48,1.3846513,1.5323904,1.4374139
49,1.3669417,1.556826,2.1029804
50,1.4932097,1.8191794,1.6333965
51,1.487288,1.7165087,2.3339758
52,1.2188449,1.050286,1.1494176
53,1.3526179,1.2728081,1.8488718
54,1.5691043,1.7755823,1.0025107
55,1.3092254,1.231179,0.36291578
56,1.2511289,1.0605814,1.3553597
57,1.5463563,1.6963189,2.4194267
58,1.2353688,1.2492828,0.32567757
59,1.078242,0.9101914,0.3867778
60,1.247386,1.1260667,1.5135368
61,1.5145425,1.6424274,2.3402307
62,1.0100513,0.6227094,-0.17591545
63,0.91844946,0.8082491,-0.16328385
64,0.9506716,0.7423316,-0.42369604
65,0.92219406,0.76141536,0.072658055
66,1.0888855,0.91046953,0.055709742
67,1.2399888,1.2025951,1.2306432
68,1.3018749,1.3464248,1.8375599
69,1.2965318,1.1783696,0.3894707
70,1.1535237,1.0213289,-0.052991718
71,1.4720496,1.4036313,1.6904957
72,1.1372983,0.7950701,0.8193337
73,1.1992817,1.1808323,0.525824
74,1.1481817,1.2026864,1.1494651
75,1.2117593,1.2358596,0.54666746
76,1.2772806,1.3264538,0.4657466
77,1.2278862,1.0745106,0.21974412
78,1.2733014,0.9956159,-0.15876521
79,1.1364658,0.9776787,0.9662179
80,1.0853105,0.97437865,-0.14113216
81,1.2355082,1.0504009,1.3514321
82,1.3161947,1.2637079,1.6998088
83,1.3742629,1.3254629,1.7687255
84,1.2248392,1.0159814,0.95601714
85,1.1649531,0.9675606,0.2726825
86,1.2363737,1.1476783,1.1795595
87,1.2839217,1.1685594,1.4424536
88,1.1751024,1.1564078,0.9876517
89,1.2689081,1.2384982,1.4764594
90,1.2008038,0.96571195,1.3250663
91,1.4928586,1.5360534,1.7031472
92,1.3187376,0.9940785,0.061879814
93,1.4846535,1.4857886,1.7080427
94,1.1771069,0.7962691,0.03196107
95,1.0076137,0.7390369,-0.44194385
96,0.953997,0.6866548,-0.11298212
97,1.1856824,1.0499394,0.92615074
98,1.406336,1.2583375,0.78346574
99,0.96964836,0.73768276,0.12122993
100,1.0922933,0.8770972,1.1087557
101,1.5037314,1.3461251,1.0861809
102,1.1325413,1.0567522,0.22674732
103,1.2772982,1.0447718,0.3866255
104,1.2428741,1.0905939,0.3473416
105,1.3485215,1.5299284,1.9262173
106,1.3790725,1.2649559,1.1616547
107,0.9741532,0.5727505,-0.27621806
108,0.9451497,0.45508808,-0.04549024
109,1.3006413,1.1059961,1.5442363
110,1.3980608,1.349986,1.589419
111,1.405586,1.5627152,1.7828305
112,1.622562,1.0670196,-0.19369587
113,1.2263846,1.1793544,1.4102815
114,0.852298,0.61372995,-0.28467745
115,1.25786,1.0835555,0.84433687
116,1.2598435,1.0140116,1.1656679
117,0.8993266,0.6740189,-0.041251965
118,0.9628024,0.5750078,-0.018472323
119,1.0284722,0.9283128,0.27203745
120,1.1041335,0.87928057,-0.027220361
121,1.1246674,0.92019576,-0.07126806
122,0.9753813,0.48957995,-0.32258725
123,1.2725983,1.3249097,1.4154452
124,1.3916844,1.4000087,1.977873
125,1.1152357,0.8036352,0.18424928
126,1.1786157,1.0582435,1.0151356
127,1.2638988,0.9984528,1.3564658
128,1.0885292,0.8734388,0.016219033
129,1.244837,1.1007758,0.23608425
130,1.1966038,0.9302605,0.059005883
131,1.008471,0.8477555,-0.19652846
132,1.2643311,1.5169995,1.8288835
133,1.1513022,0.9308712,0.10216394
134,1.3071204,1.440507,1.6267055
135,1.0401056,0.7458641,-0.073737845
136,1.0364809,0.6748519,-0.19206959
137,1.172502,0.9716127,1.3758727
138,1.3441832,1.4184588,1.9584901
139,1.1379681,0.90263736,1.1474701
140,1.5205017,1.5944303,1.431358
